,open,high,low,close,volume,date
5201,84.7800,85.2500,84.6000,84.8500,5928500,2004-10-15
5202,84.7500,84.9800,84.3000,84.7800,4233700,2004-10-14
5203,86.2600,86.4800,84.4300,84.9800,6651400,2004-10-13
5204,86.0200,86.2000,85.5800,86.0000,4626600,2004-10-12
5205,86.7700,87.2000,86.2700,86.6300,3016300,2004-10-11
5206,87.4300,87.9100,86.5100,86.7100,4090000,2004-10-08
5207,88.0400,88.1000,87.4000,87.4200,3076900,2004-10-07
5208,87.1400,88.1000,87.1000,88.0400,3984400,2004-10-06
5209,87.9500,88.0300,87.1300,87.3200,5150700,2004-10-05
5210,87.0000,88.1000,86.7200,87.1600,5001400,2004-10-04
5211,85.9500,86.9800,85.8800,86.7200,4538000,2004-10-01
5212,85.1400,85.9800,85.0100,85.7400,5198000,2004-09-30
5213,84.4800,84.9800,84.1500,84.9800,4204500,2004-09-29
5214,84.3500,84.6500,83.8800,84.4800,3874200,2004-09-28
5215,84.1000,84.4400,83.9800,84.1600,4650300,2004-09-27
5216,83.8000,84.7400,83.7800,84.4300,4899500,2004-09-24
5217,84.0400,84.2700,83.2400,83.8800,4801200,2004-09-23
5218,85.3500,85.4400,84.1700,84.3100,5037100,2004-09-22
5219,85.7000,86.1100,85.3400,85.7200,4049700,2004-09-21
5220,85.4000,86.4300,85.4000,85.7000,4380400,2004-09-20
5221,86.4000,86.5000,85.4400,85.7400,6198700,2004-09-17
5222,86.2000,86.9600,85.9300,86.1200,3623000,2004-09-16
5223,85.9400,86.5000,85.8900,86.3700,4631200,2004-09-15
5224,86.6000,86.8800,86.1500,86.7200,3953500,2004-09-14
5225,87.0000,87.2800,86.0800,86.4900,4801400,2004-09-13
5226,86.4300,87.0000,86.2500,86.7600,3753500,2004-09-10
5227,85.8600,86.7900,85.8600,86.4400,4517400,2004-09-09
5228,84.9000,86.5100,84.8800,85.8600,5721200,2004-09-08
5229,84.7000,85.4400,84.6000,84.9700,4002800,2004-09-07
5230,84.3000,84.6900,83.9600,84.3900,3479800,2004-09-03
5231,84.2200,84.7800,83.8500,84.5700,3380400,2004-09-02
5232,84.0500,85.0900,84.0100,84.2200,4748500,2004-09-01
5233,84.5500,84.6900,83.6500,84.6900,3399500,2004-08-31
5234,84.5700,84.9900,84.3900,84.4000,2277900,2004-08-30
5235,84.6500,84.9500,84.5900,84.9400,2444800,2004-08-27
5236,85.0000,85.0400,84.6900,84.6900,3134400,2004-08-26
5237,85.0000,85.2700,84.5500,85.0700,4405600,2004-08-25
5238,85.0000,85.1500,84.3500,84.7100,2710400,2004-08-24
5239,85.2300,85.4500,84.6500,84.6500,4260600,2004-08-23
5240,84.5200,85.2500,84.5200,85.2500,4501400,2004-08-20
5241,84.7500,85.3500,84.4500,84.8900,4704500,2004-08-19
5242,83.6000,85.1300,83.5700,85.1300,4397500,2004-08-18
5243,84.1000,84.5400,83.6600,84.0400,3559400,2004-08-17
5244,83.7000,84.5600,83.5100,84.0200,4361500,2004-08-16
5245,82.5400,83.9400,82.5100,83.9100,5801900,2004-08-13
5246,83.0500,83.0500,81.9000,82.2100,7134900,2004-08-12
5247,83.7000,83.9800,83.1000,83.6900,5288000,2004-08-11
5248,84.0000,84.9900,83.8100,84.9900,4351000,2004-08-10
5249,83.4800,83.9600,82.8700,83.5500,3621100,2004-08-09
5250,84.3800,84.7600,83.4200,83.4800,5219200,2004-08-06
5251,85.9700,86.4200,85.0100,85.1900,3879900,2004-08-05
5252,85.3000,86.6500,85.2500,85.9700,4160600,2004-08-04
5253,86.7000,86.8000,85.4400,85.7100,4147200,2004-08-03
5254,86.8700,87.3900,86.4200,86.6900,3408400,2004-08-02
5255,86.4500,87.4000,86.3875,87.0700,3508500,2004-07-30
5256,86.2500,87.2200,86.2300,86.7700,4232300,2004-07-29
5257,85.8800,86.2800,84.8800,85.8500,6566200,2004-07-28
5258,85.6000,86.3000,85.4500,85.8800,4098500,2004-07-27
5259,84.8500,85.5800,84.5100,85.0900,4517500,2004-07-26
5260,85.7000,86.0600,84.5000,84.8500,4309400,2004-07-23
5261,85.0000,86.4000,84.6800,86.0600,5972600,2004-07-22
5262,86.7500,87.1100,85.3000,85.3000,5534000,2004-07-21
5263,85.6300,86.4900,85.3000,86.3600,5651300,2004-07-20
5264,84.5000,85.8500,84.4000,85.3000,6596000,2004-07-19
5265,86.0500,86.4800,84.2800,84.2800,10441400,2004-07-16
5266,84.1300,84.6300,83.6100,84.0200,7086500,2004-07-15
5267,84.8400,85.2400,83.7800,84.1300,6298600,2004-07-14
5268,85.9000,86.0900,85.2000,85.2500,6001000,2004-07-13
5269,84.0000,85.2500,83.4200,84.9500,6009200,2004-07-12
5270,84.4000,84.5000,83.5100,83.8900,6595200,2004-07-09
5271,85.0000,85.0100,83.5800,83.6500,7529000,2004-07-08
5272,85.3000,85.9400,85.0500,85.3500,5677300,2004-07-07
5273,86.5000,86.7300,85.1300,85.7000,6408100,2004-07-06
5274,87.4500,87.5500,86.6000,87.0400,2874500,2004-07-02
5275,88.2800,88.4400,86.5700,87.5000,5093900,2004-07-01
5276,88.3000,88.5000,87.7000,88.1500,4724000,2004-06-30
5277,88.3500,88.4900,87.9000,88.2900,4394800,2004-06-29
5278,89.7100,89.9000,88.3600,88.7100,4423200,2004-06-28
5279,89.9500,90.2300,88.9400,89.5500,5604700,2004-06-25
5280,90.2800,90.9200,89.8400,89.9900,4069400,2004-06-24
5281,90.1000,90.8400,89.8400,90.7900,4354700,2004-06-23
5282,89.2800,90.2400,89.1300,90.0200,4149300,2004-06-22
5283,90.4000,90.4300,89.3100,89.4900,3843400,2004-06-21
5284,90.2000,90.8000,89.9000,90.0600,6470800,2004-06-18
5285,90.5000,90.5600,90.0700,90.4400,4180200,2004-06-17
5286,90.2500,90.9300,90.0900,90.3800,3145700,2004-06-16
5287,90.4900,91.2100,90.2315,90.5400,4508300,2004-06-15
5288,90.0500,90.5800,89.6200,90.0700,4121400,2004-06-14
5289,90.2300,90.7500,89.8910,90.4600,3468700,2004-06-10
5290,89.9000,90.5500,89.8100,90.0900,5233400,2004-06-09
5291,88.6400,90.5000,88.4000,90.0400,5400300,2004-06-08
5292,88.7500,88.9900,88.0100,88.6400,4264500,2004-06-07
5293,87.9500,88.4900,87.5000,87.5600,3803400,2004-06-04
5294,87.8500,88.1000,87.3500,87.3500,3011500,2004-06-03
5295,88.6400,88.6400,87.8900,87.9800,3912600,2004-06-02
5296,88.0900,88.4800,87.3000,88.1200,4884300,2004-06-01
5297,88.4800,88.8500,88.2500,88.5900,3203800,2004-05-28
5298,88.7500,89.0800,87.9800,88.5900,4094600,2004-05-27
5299,88.6400,88.8500,88.0400,88.3500,4308200,2004-05-26
5300,86.7500,88.9200,86.5500,88.7000,5358100,2004-05-25
5301,87.7500,87.8400,86.5500,87.1000,3778100,2004-05-24
5302,87.5900,88.1800,86.9100,87.1300,5130000,2004-05-21
5303,87.0600,87.9500,87.0500,87.4200,4031500,2004-05-20
5304,87.4000,88.8800,86.5000,87.0500,7431800,2004-05-19
5305,86.0800,86.4900,86.0000,86.0600,4401100,2004-05-18
5306,85.3000,86.0300,85.1500,85.5300,5700000,2004-05-17
5307,86.6500,87.3500,86.0700,86.4100,5197800,2004-05-14
5308,86.7900,87.4100,86.2600,87.1900,4708400,2004-05-13
5309,87.2500,87.2500,85.1200,86.8100,8445800,2004-05-12
5310,87.2000,88.1500,86.8200,87.1300,6575000,2004-05-11
5311,87.6000,88.1025,86.3700,86.8800,6692400,2004-05-10
5312,87.7500,89.4000,87.6200,88.1900,5407400,2004-05-07
5313,88.1000,89.1000,87.5900,88.3600,4319100,2004-05-06
5314,89.7500,89.7500,88.5100,88.9600,4402300,2004-05-05
5315,88.0200,89.7400,88.0000,89.0000,5451800,2004-05-04
5316,88.1300,88.5200,87.2012,88.0200,6070100,2004-05-03
5317,89.0100,89.2000,88.0100,88.1700,5019500,2004-04-30
5318,90.0100,90.2600,88.1900,89.0800,7763200,2004-04-29
5319,90.3000,90.9800,90.2100,90.4100,4706000,2004-04-28
5320,90.6500,91.9900,90.5600,91.1100,4768000,2004-04-27
5321,90.7500,91.5600,90.3490,90.4300,4533600,2004-04-26
5322,91.0000,91.6100,90.3600,91.2800,5063200,2004-04-23
5323,90.5000,91.5100,89.7000,90.7400,7988000,2004-04-22
5324,91.1500,91.4200,90.6900,91.2600,4623400,2004-04-21
5325,92.0000,92.4800,90.6500,90.6500,4260200,2004-04-20
5326,91.9000,92.3000,91.7000,91.9400,4159400,2004-04-19
5327,92.3000,92.3500,91.0400,92.2800,11118000,2004-04-16
5328,93.8000,94.0900,93.0600,93.9700,6844200,2004-04-15
5329,92.1000,93.8600,92.1000,93.7000,5316300,2004-04-14
5330,93.7900,94.0400,92.5000,93.0400,5013600,2004-04-13
5331,93.5000,94.3600,93.4000,93.7400,3112600,2004-04-12
5332,94.0000,94.3900,92.5500,93.1200,3868000,2004-04-08
5333,93.3700,93.5800,92.5100,93.0800,4537300,2004-04-07
5334,93.6000,93.7900,93.0200,93.7000,3860100,2004-04-06
5335,93.9500,94.3700,93.5100,94.1800,3936000,2004-04-05
5336,93.5500,94.5500,93.3300,94.2000,5894500,2004-04-02
5337,91.6700,92.6800,91.6200,92.3700,4246900,2004-04-01
5338,92.0700,92.2400,91.5100,91.8400,4613500,2004-03-31
5339,92.6700,92.6700,91.3500,92.3200,5415700,2004-03-30
5340,92.9900,93.6100,92.1800,92.6800,4876300,2004-03-29
5341,92.3900,93.2500,92.1600,92.7700,4397700,2004-03-26
5342,92.1500,92.6300,91.4500,92.3900,5585800,2004-03-25
